review,sentiment
romething 's really wrong with this ricture ! ,0
"austin powers for the most part is extremely funny , the first part making up for any flaws that come later . ",1
a moving and not infrequently breathtaking film . ,1
the script falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy . ,0
the original was n't a good movie but this remake makes it look like a masterpiece ! ,0
"just as the lousy tarantino imitations have subsided , here comes the first lousy guy ritchie imitation . ",0
cloaks a familiar anti-feminist equation -lrb- career - kids = misery -rrb- in tiresome romantic-comedy duds . ,0
the inherent limitations of using a video game as the source material movie are once again made all too clear in this schlocky horror\/action hybrid . ,0
even the hastily and amateurishly drawn animation can not engage . ,0
"it winds up moving in many directions as it searches -lrb- vainly , i think -rrb- for something fresh to say . ",0
-lrb- a -rrb- mess . ,0
"instead of hitting the audience over the head with a moral , schrader relies on subtle ironies and visual devices to convey point of view . ",1
one of those exceedingly rare films in which the talk alone is enough to keep us involved . ,1
it leaves little doubt that kidman has become one of our best actors . ,1
"once again , director chris columbus takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours . ",0
"the series ' message about making the right choice in the face of tempting alternatives remains prominent , as do the girls ' amusing personalities . ",1
cherish would 've worked a lot better had it been a short film . ,0
good performances keep it from being a total rehash . ,1
to be oblivious to the existence of this film would be very sweet indeed . ,0
"the otherwise good-naturedness of mr. deeds , with its embrace of sheer goofiness and cameos of less - than-likely new york celebrities ... certainly raises the film above anything sandler 's been attached to before . ",1
woody allen used to ridicule movies like hollywood ending . ,0
"wonder , hope and magic can never escape the heart of the boy when the right movie comes along , especially if it begins with the name of star wars ",1
"in a big corner office in hell , satan is throwing up his hands in surrender , is firing his r&d people , and has decided he will just screen the master of disguise 24\/7 . ",0
"it celebrates the group 's playful spark of nonconformity , glancing vividly back at what hibiscus grandly called his ` angels of light . ' ",1
"what makes salton sea surprisingly engrossing is that caruso takes an atypically hypnotic approach to a world that 's often handled in fast-edit , hopped-up fashion . ",1
"` it looks good , sonny , but you missed the point . ' ",0
"this fascinating experiment plays as more of a poetic than a strict reality , creating an intriguing species of artifice that gives the lady and the duke something of a theatrical air . ",1
a crass and insulting homage to great films like some like it hot and the john wayne classics . ,0
"this is a dark , gritty , sometimes funny little gem . ",1
"what a dumb , fun , curiously adolescent movie this is . ",1
"director elie chouraqui , who co-wrote the script , catches the chaotic horror of war , but why bother if you 're going to subjugate truth to the tear-jerking demands of soap opera ? ",0
"the trouble is , its filmmakers run out of clever ideas and visual gags about halfway through . ",0
"what i saw , i enjoyed . ",1
"it does n't really know or care about the characters , and uses them as markers for a series of preordained events . ",0
guys say mean things and shoot a lot of bullets . ,0
that it 'll probably be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture ,1
"and thanks to kline 's superbly nuanced performance , that pondering is highly pleasurable . ",1
solondz is so intent on hammering home his message that he forgets to make it entertaining . ,0
"with spy kids 2 : the island of lost dreams , however , robert rodriguez adorns his family-film plot with an elegance and maturity that even most contemporary adult movies are lacking . ",1
"a rather brilliant little cult item : a pastiche of children 's entertainment , superhero comics , and japanese animation . ",1
where 's the movie here ? ,0
yet another arnold vehicle that fails to make adequate use of his particular talents . ,0
"i like that smith , he 's not making fun of these people , he 's not laughing at them . ",1
tries so hard to be quirky and funny that the strain is all too evident . ,0
this version does justice both to stevenson and to the sci-fi genre . ,1
"... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror . ",0
"simultaneously heart-breaking and very funny , the last kiss is really all about performances . ",1
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers . ,1
set in a 1986 harlem that does n't look much like anywhere in new york . ,0
"even if it made its original release date last fall , it would 've reeked of a been-there , done-that sameness . ",0
"depicts the sorriest and most sordid of human behavior on the screen , then laughs at how clever it 's being . ",0
a keep - 'em - guessing plot and an affectionate take on its screwed-up characters . ,1
a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age . ,1
"there 's an admirable rigor to jimmy 's relentless anger , and to the script 's refusal of a happy ending , but as those monologues stretch on and on , you realize there 's no place for this story to go but down . ",0
jones has delivered a solidly entertaining and moving family drama . ,1
it all comes down to whether you can tolerate leon barlow . ,0
"this is a third-person story now , told by hollywood , and much more ordinary for it . ",0
"yes , mibii is rote work and predictable , but with a philosophical visual coming right at the end that extravagantly redeems it . ",1
"whatever heartwarming scene the impressively discreet filmmakers may have expected to record with their mini dv , they show a remarkable ability to document both sides of this emotional car-wreck . ",1
serious and thoughtful . ,1
this is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies . ,1
"no such thing is sort of a minimalist beauty and the beast , but in this case the beast should definitely get top billing . ",1
"its flame-like , roiling black-and-white inspires trembling and gratitude . ",1
canada 's arctic light shines bright on this frozen tundra soap opera that breathes extraordinary life into the private existence of the inuit people . ,1
davis ... gets vivid performances from her cast and pulls off some deft ally mcbeal-style fantasy sequences . ,1
about schmidt is undoubtedly one of the finest films of the year . ,1
"presents nothing special and , until the final act , nothing overtly disagreeable . ",0
"reassuring , retro uplifter . ",1
pretty good little movie . ,1
the film runs on a little longer than it needs to -- muccino either does n't notice when his story ends or just ca n't tear himself away from the characters -- but it 's smooth and professional . ,0
"it has a dashing and resourceful hero ; a lisping , reptilian villain ; big fights ; big hair ; lavish period scenery ; and a story just complicated enough to let you bask in your own cleverness as you figure it out . ",1
"the film is small in scope , yet perfectly formed . ",1
it 's never dull and always looks good . ,1
"filmmaker stacy peralta has a flashy editing style that does n't always jell with sean penn 's monotone narration , but he respects the material without sentimentalizing it . ",1
a four star performance from kevin kline who unfortunately works with a two star script . ,1
you 'll end up moved . ,1
"i stopped thinking about how good it all was , and started doing nothing but reacting to it - feeling a part of its grand locations , thinking urgently as the protagonists struggled , feeling at the mercy of its inventiveness , gasping at its visual delights . ",1
"so muddled , repetitive and ragged that it says far less about the horrifying historical reality than about the filmmaker 's characteristic style . ",0
"will assuredly rank as one of the cleverest , most deceptively amusing comedies of the year . ",1
a film that will enthrall the whole family . ,1
buries an interesting storyline about morality and the choices we make underneath such a mountain of clich̩s and borrowed images that it might more accurately be titled mr. chips off the old block . ,0
the filmmakers keep pushing the jokes at the expense of character until things fall apart . ,0
what 's surprising is how well it holds up in an era in which computer-generated images are the norm . ,1
"there is a real subject here , and it is handled with intelligence and care . ",1
you can not guess why the cast and crew did n't sign a pact to burn the negative and the script and pretend the whole thing never existed . ,0
an enjoyable comedy of lingual and cultural differences ... the ch̢teau is a film -- full of life and small delights -- that has all the wiggling energy of young kitten . ,1
the only fun part of the movie is playing the obvious game . ,0
