premise,hypothesis,label
A man riding a bicycle with a plant he is taking home on the back.,A person riding a bike taking home a plant he just stole.,1
A woman in the waitress uniform is holding a tray.,There is a waitress.,0
Man in cowboy hat cooking over a campfire in the dark,Man in cowboy hat is cooking hot dogs over a campfire.,1
A man sits by a window on a train.,The man is standing because there are no seats on the train.,2
A man with a helmet is going snowmobiling.,A man with a helmet is on a motorcycle.,2
A man climbs steep rocks.,the man is trying to set a climbing record,1
A toddler sitting on a pile of rocks holding a rock at a beach.,A child is playing in a playpen at home.,2
A poster depicting the president of Poland hangs above a McDonald's restaurant.,The McDonald's is on the moon.,2
"A table full of pictures in frames, at an outdoor market.",Pictures in frames at the outdoor market,0
Three women are sitting in front of computers while people stand in front of them with small papers.,Three women are playing candy crush on their computers.,1
Four cowboys sitting at a table drinking Jack Daniels in the middle of a rodeo arena.,Four men are sitting at a table drinking while visiting a rodeo.,0
Man rides on bicycle as other people walk.,A man is engaging in a sports activity.,0
Two kids are standing next to a small pond.,2 kids sit on a log at the pond,2
"A man sells fruit from baskets on his bicycle near a blue building while other men wait, seated or standing.",There is a seller and some other men.,0
Two individuals standing on a beach.,Two people standing.,0
The three dogs are running through sand near a lake.,3 dogs are running after a ball in the sand,1
Two men are on horseback trying to rope a cattle.,The men herd Nerfs.,2
"Two men dressed in white shirts button down shirts, white hats, with blue scarves tied around their necks",Two brothers in white clothes with blue scarves,1
Spectators laugh as three people ride exercise balls down a field.,Spectators are laughing.,0
"Two men sit on a park bench, watching the river roll by, as a dog stands off to the side.",Some people are sitting down with an animal.,1
"Two people are in a river, one is a standing man and the other appears to be a child lying on his stomach with his chest and head above the water.",Two people are in water,0
"Young woman lifts arms in shadow, ocean and sunset in background.",the woman is taking a picture,1
A woman in a white dress and colorful hat is dancing and singing on stage in front of a band.,The woman in the white drees and hat was dancing and singing on stage,0
A little girl falls to her knees in the sand and cries in agony.,A boy jumps on a soft bed.,2
"A person is sleeping on the sidewalk with a hat, backpack, pillow, and orange blanket.",The person is homeless,1
A man is wearing a yellow jacket is wrangling an out of control horse in an outdoor stadium.,Woman flashing in outdoor stadium,2
A man in a white shirt doing some kind of work on a street.,A man is dying in the street.,2
A guy and two girls are smiling at the camera.,Two girls are smiling at the snail.,2
Two ball players sharing a single base on a baseball field.,Two men are sitting in the stands.,2
A dog with fangs revealed is about to bite a ball with paw prints on it.,a puppy chews on a bowling ball.,2
Group sitting on a grassy hill resting.,The group is sitting on the couch.,2
A construction crew is working on a job.,A group of construction workers perform various cat calls at passing women.,2
a brown dog running along the dirt shore of a stream,A brown dog is chasing a ball along the shore of a stream.,1
A skater moving around a track in front of an audience.,The skater is circling the track.,0
"A boy playing basketball, trying to block a shot.",Kids play sports.,0
A girl is diving into a pool and is surrounded by bubbles.,A girl dives in a pool.,0
Two guards are sitting near an entrance.,Two guards are standing at the exit.,2
Children playing on the sidewalk surrounded by leaves.,Children are playing outside,0
"A man in a red and gold uniform and black cap sits on an embellished saddle and blanket on a pale gray horse as it trots along a gray road, while onlookers watch between a low metal barrier and a brick building.",A mouse is riding a horse.,2
"A man on a white horse looks into the distance, as does a man in a red hat standing nearby.",Nobody has a horse,2
A bride in a light pink dress poses for a picture with male relatives and is being photographed by a man in a cream shirt with white pants.,A bride takes pictures with her brothers.,1
A man and a woman are standing behind an elderly man who is looking at a bush.,2 people are standing behind an elderly man,0
A man in an orange shirt is sitting at a table and eating a french fry dipped in dressing with chopsticks.,a man is eating a french fry,0
"Balding man with a beard who has fallen asleep leaning on another man next to him, against the rails of a set of stairs.",A balding man with a beard is awake.,2
A boy wearing green shorts is about to serve a volleyball.,The boy is holding the ball.,0
A child in a white shirt coming out of a swing in midair.,A child is outside.,0
two women bundled up on a snowy day,Women dressed for the winter weather.,0
A group of people all dressed up marching along the road playing instruments and holding flags and other props.,A group of people don't have any instruments to play.,2
A man in a woman sit on a motorcycle on a busy street at night.,a man and woman are riding a motorcycle at night.,1
Two women place food on a long table in preparation for a meal.,Two women prepare a meal.,0
"Two people with backpacks take a picture of something high above them, while standing in a crowd.",The people are fishing by themselves in the middle of the ocean.,2
"An old, perhaps homeless, man is sitting at a table with a glass in front of him.",Homeless man sitting on table,0
Three construction workers in orange vests digging into cement.,Three workers are working at a site with a large bulldozer in the background.,1
"A small, shaggy dog playing with a toy on a blanket.",The dog has just had all its hair shaved off.,2
A couple is sleeping on a bus.,The people are on the bus.,0
"A man wearing cutoff shorts, a tank top, and green sneakers sitting in a garden with a beer.",a beer is held by a man in casual attire,0
A girl runs down a beach.,The girl is about to fire the gun.,2
The man in the black sweater is standing next to a green bird in a birdcage.,The man likes birds.,1
A soccer game is going on at sundown.,The game is at sun rise,2
A man with a harness and rope attached to his waist is standing on top of a mountain overlooking water.,"A man has just climbed a mountain, and is admiring his hard work by looking below at the long journey he took.",1
"Four runners are competing in a race, on an indoor course, decorated with many colorful, international flags.",4 men compete in a bike race outdoors.,2
A man in a suit is hurrying across the street.,A businessman is crossing the street.,1
two men wearing black in a city,The woman smiles at the man in the blue shirt.,2
A dog and two birds.,The birds are performing a sick rock concert.,2
Four people with black hair pose for a picture with windows in the background.,Four people are having a physical altercation.,2
A hockey player in white tries to make a goal while two players in blue defend their net.,The hockey player is sitting.,2
"In the foreground, a soccer player wearing orange and black moves to intercept two players wearing white uniforms as they run towards the camera in pursuit of the soccer ball while in the background a man in a blue soccer uniform looks on.","As a soccer player moves to intercept, he is making a foul on the play.",1
Two women are standing next to a railing overlooking a city.,Two women look out upon the cityscape.,1
"Two females sitting on large backed stools in front of a counter inside of a house, with one female turning her head back.",The two women are eating lunch at the counter.,1
A group of children are sitting on a wall.,The children sleeping.,2
A girl drinking from a cup and enjoying the dolphin.,A girl is watching a dolphin.,0
A woman propels herself in her wheelchair.,a wheelchair is being ridden,0
A little boy is sitting on a wet path covered in mud.,A boy is sitting outside.,0
