review,sentiment
It 's no accident that The Accidental Spy is a solid action pic that returns the martial arts master to top form .,4
"Despite Juliet Stevenon 's attempt to bring cohesion to Pamela 's emotional roller coaster life , it is not enough to give the film the substance it so desperately needs .",1
"Despite its promising cast of characters , Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",1
"A Jewish WW II doc that is n't trying simply to out-shock , out-outrage or out-depress its potential audience !",2
"Lan Yu is certainly a serviceable melodrama , but it does n't even try for the greatness that Happy Together shoots for ( and misses ) .",2
"Drug abuse , infidelity and death are n't usually comedy fare , but Turpin 's film allows us to chuckle through the angst .",3
"It is messy , uncouth , incomprehensible , vicious and absurd .",0
"Like a precious and finely cut diamond , magnificent to behold in its sparkling beauty yet in reality it 's one tough rock .",3
"With this masterful , flawless film , ( Wang ) emerges in the front ranks of China 's now numerous , world-renowned filmmakers .",4
... too sappy for its own good .,1
"However sincere it may be , The Rising Place never quite justifies its own existence .",1
"Slow , silly and unintentionally hilarious .",2
A lame comedy .,0
"Scooby-Doo does n't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , Nickelodeon-esque kiddie flick .",1
"The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",3
"Has its moments , but it 's pretty far from a treasure .",2
The Sweetest Thing leaves an awful sour taste .,1
"Releasing a film with the word ` dog ' in its title in January lends itself to easy jokes and insults , and Snow Dogs deserves every single one of them .",1
The performances are remarkable .,4
So boring that even its target audience talked all the way through it .,0
"It 's sort of in-between , and it works .",3
"A fantastic premise anchors this movie , but what it needs is either a more rigid , Blair Witch-style commitment to its mockumentary format , or a more straightforward , dramatic treatment , with all the grandiosity that that implies .",2
"Human Nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart .",1
It 's too bad nothing else is .,2
"Deliberately and devotedly constructed , Far from Heaven is too picture postcard perfect , too neat and new pin-like , too obviously a recreation to resonate .",3
"The urban landscapes are detailed down to the signs on the kiosks , and the color palette , with lots of somber blues and pinks , is dreamy and evocative .",4
A puzzling experience .,2
"Payne has created a beautiful canvas , and Nicholson proves once again that he 's the best brush in the business .",4
"Humorous and heartfelt , Douglas McGrath 's version of ` Nicholas Nickleby ' left me feeling refreshed and hopeful .",4
Adam Sandler 's 8 Crazy Nights is 75 wasted minutes of Sandler as the voice-over hero in Columbia Pictures ' perverse idea of an animated holiday movie .,1
"It 's mildly interesting to ponder the peculiar American style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through .",1
"Since Lee is a sentimentalist , the film is more worshipful than your random E !",2
What a stiflingly unfunny and unoriginal mess this is !,0
"I thought the relationships were wonderful , the comedy was funny , and the love ` real ' .",4
"Williams plays Sy , another of his open-faced , smiling madmen , like the killer in Insomnia .",2
Paid in Full is remarkably engaging despite being noticeably derivative of Goodfellas and at least a half dozen other trouble-in-the-ghetto flicks .,3
It still feels like a prison stretch .,1
An almost unbearably morbid love story .,0
"In its own floundering way , it gets to you .",3
"Last Orders nurtures the multi-layers of its characters , allowing us to remember that life 's ultimately a gamble and last orders are to be embraced .",4
As we have come to learn -- as many times as we have fingers to count on -- Jason is a killer who does n't know the meaning of the word ` quit . ',2
"Feels like nothing quite so much as a middle-aged moviemaker 's attempt to surround himself with beautiful , half-naked women .",2
"Indeed , the more outrageous bits achieve a shock-you-into-laughter intensity of almost Dadaist proportions .",3
"For a movie audience , The Hours does n't connect in a neat way , but introduces characters who illuminate mysteries of sex , duty and love .",2
"Definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '",3
Post 9/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,2
Certainly the big finish was n't something Galinsky and Hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .,3
A collage of clichés and a dim echo of allusions to other films .,1
This deeply spiritual film taps into the meaning and consolation in afterlife communications .,3
Handsome and sophisticated approach to the workplace romantic comedy .,3
The problematic characters and overly convenient plot twists foul up Shum 's good intentions .,1
Wang Xiaoshuai directs this intricately structured and well-realized drama that presents a fascinating glimpse of urban life and the class warfare that embroils two young men .,3
A certain sexiness underlines even the dullest tangents .,3
"Even if it made its original release date last fall , it would 've reeked of a been-there , done-that sameness .",1
"Watching Harris ham it up while physically and emotionally disintegrating over the course of the movie has a certain poignancy in light of his recent death , but Boyd 's film offers little else of consequence .",2
"There 's back-stabbing , inter-racial desire and , most importantly , singing and dancing .",3
Staggeringly dreadful romance .,0
"In the not-too-distant future , movies like Ghost Ship will be used as analgesic balm for overstimulated minds .",1
... built on the premise that middle-class Arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from TV reruns and supermarket tabloids .,1
Disney again ransacks its archives for a quick-buck sequel .,1
Utter mush ... conceited pap .,0
"What a dumb , fun , curiously adolescent movie this is .",3
This is no `` Waterboy ! '',1
"Bloody Sunday has the grace to call for prevention rather than to place blame , making it one of the best war movies ever made .",4
"Though the film is static , its writer-director 's heart is in the right place , his plea for democracy and civic action laudable .",3
"The real triumphs in Igby come from Philippe , who makes Oliver far more interesting than the character 's lines would suggest , and Sarandon , who could n't be better as a cruel but weirdly likable WASP matron .",3
There 's no disguising this as one of the worst films of the summer .,0
They do a good job of painting this family dynamic for the audience but they tried to squeeze too many elements into the film .,2
Less-than-compelling documentary of a Yiddish theater clan .,2
That Storytelling has value can not be denied .,4
Connoisseurs of Chinese film will be pleased to discover that Tian 's meticulous talent has not withered during his enforced hiatus .,3
"That rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film .",4
A Movie to Forget,1
"Brainy , artistic and muted , almost to the point of suffocation .",2
"As Allen 's execution date closes in , the documentary gives an especially poignant portrait of her friendship with the never flagging legal investigator David Presson .",2
You want to call Domino 's .,2
The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .,2
You begin to long for the end credits as the desert does for rain .,0
Those moviegoers who would automatically bypass a hip-hop documentary should give `` Scratch '' a second look .,4
"We never feel anything for these characters , and as a result the film is basically just a curiosity .",1
"The kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .",4
The film tries to touch on spousal abuse but veers off course and becomes just another revenge film .,2
Has the marks of a septuagenarian ; it 's a crusty treatment of a clever gimmick .,2
We 're drawn in by the dark luster .,3
"But this time , the old MIB label stands for Milder Is n't Better .",1
"The artwork is spectacular and unlike most animaton from Japan , the characters move with grace and panache .",4
A good thriller .,3
One of the greatest films I 've ever seen .,4
"The people in ABC Africa are treated as docile , mostly wordless ethnographic extras .",2
A wannabe comedy of manners about a brainy prep-school kid with a Mrs. Robinson complex founders on its own preciousness -- and squanders its beautiful women .,1
( It ) has the feel of a summer popcorn movie .,2
"The script is smart , not cloying .",3
"A sleep-inducingly slow-paced crime drama with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set of plot devices .",0
"Eddie Murphy and Owen Wilson have a cute partnership in I Spy , but the movie around them is so often nearly nothing that their charm does n't do a load of good .",1
It will guarantee to have you leaving the theater with a smile on your face .,4
"Sheridan is painfully bad , a fourth-rate Jim Carrey who does n't understand the difference between dumb fun and just plain dumb .",0
"while ( Roman Coppola ) scores points for style , he staggers in terms of story .",2
"No one can doubt the filmmakers ' motives , but The Guys still feels counterproductive .",1
Entertaining despite its one-joke premise with the thesis that women from Venus and men from Mars can indeed get together .,2
( A ) crushing disappointment .,0
An unfortunate title for a film that has nothing endearing about it .,0
"A visionary marvel , but it 's lacking a depth in storytelling usually found in anime like this .",1
Like being invited to a classy dinner soiree and not knowing anyone .,2
The holiday message of the 37-minute Santa vs. the Snowman leaves a lot to be desired .,1
"A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .",1
"An ugly , pointless , stupid movie .",0
The film is delicately narrated by Martin Landau and directed with sensitivity and skill by Dana Janklowicz-Mann .,3
"There is a certain sense of experimentation and improvisation to this film that may not always work , but it is nevertheless compelling .",3
"Once folks started hanging out at the barbershop , they never wanted to leave .",3
Movies like High Crimes flog the dead horse of surprise as if it were an obligation .,0
"This is the sort of low-grade dreck that usually goes straight to video -- with a lousy script , inept direction , pathetic acting , poorly dubbed dialogue and murky cinematography , complete with visible boom mikes .",0
"It is most remarkable not because of its epic scope , but because of the startling intimacy it achieves despite that breadth .",4
A flawed film but an admirable one that tries to immerse us in a world of artistic abandon and political madness and very nearly succeeds .,2
"Seeing Seinfeld at home as he watches his own appearance on Letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy , even though the reality is anything but .",2
"If they broke out into elaborate choreography , singing and finger snapping it might have held my attention , but as it stands I kept looking for the last exit from Brooklyn .",1
Bolstered by exceptional performances and a clear-eyed take on the economics of dealing and the pathology of ghetto fabulousness .,4
"Though it pretends to expose the life of male hustlers , it 's exploitive without being insightful .",1
"There 's a thin line between likably old-fashioned and fuddy-duddy , and The Count of Monte Cristo ... never quite settles on either side .",2
"Muccino , who directed from his own screenplay , is a canny crowd pleaser , and The Last Kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex .",4
There are scenes of cinematic perfection that steal your heart away .,4
The obligatory break-ups and hook-ups do n't seem to have much emotional impact on the characters .,2
Upper Teens may get cynical .,1
